AS,14,55307,0.0253132515
IS,57,323764,0.0176054163
VG,4,29056,0.0137665198
VI,14,104737,0.013366814
DK,644,5614932,0.0114694176
SE,1101,9600379,0.0114682972
AD,9,80788,0.0111402684
NO,564,5079623,0.0111031862
FI,599,5438972,0.0110131106
MC,4,37971,0.0105343552
SM,3,32303,0.0092870631
GL,5,56483,0.008852221
LI,3,36834,0.008144649
SG,430,5399162,0.0079641989
EE,101,1317997,0.0076631434
AU,1765,23117353,0.0076349572
NZ,281,4442100,0.0063258369
CA,2101,35155451,0.0059763136
MP,3,54036,0.0055518543
LU,30,543360,0.0055212014
BY,455,9465997,0.004806678
RU,6804,143506911,0.0047412351
GB,2952,64128226,0.0046032772
DM,3,72400,0.0041436464
AG,4,97824,0.0040889761
LV,78,2012647,0.0038754933
IE,165,4598294,0.0035882873
NL,593,16804432,0.003528831
US,10998,316204908,0.0034781244
LT,101,2957689,0.0034148283
CZ,339,10514272,0.003224189
BS,12,377240,0.0031809988
DE,2537,80645605,0.0031458627
UA,1431,45489600,0.003145774
GU,5,160375,0.0031176929
SI,60,2059953,0.0029126878
AT,246,8479375,0.0029011572
SK,151,5413393,0.0027893781
BE,296,11182817,0.002646918
BB,7,282509,0.0024777972
MT,10,423374,0.0023619778
FR,1558,65998570,0.0023606572
PT,223,10457295,0.0021324826
MY,623,29706724,0.0020971683
CH,169,8089346,0.0020891677
HR,88,4255689,0.0020678203
PL,763,38040196,0.0020057731
MH,1,52793,0.0018941905
KN,1,53169,0.0018807952
HU,184,9893082,0.0018598855
VC,2,109320,0.0018294914
RS,122,7164132,0.0017029279
RO,328,19983693,0.0016413383
BG,118,7265115,0.0016242
CL,266,17462982,0.0015232221
BN,6,405716,0.001478867
GR,162,10965211,0.0014773998
BZ,5,344181,0.001452724
IL,103,8059500,0.0012779949
PE,377,30565716,0.001233408
MO,7,575841,0.0012156133
KZ,206,17035275,0.0012092555
JM,34,2851807,0.0011922265
LC,2,175660,0.0011385631
ES,525,46620045,0.001126125
SC,1,89949,0.0011117411
MV,4,393000,0.0010178117
DJ,9,896688,0.0010036936
AL,29,2895092,0.0010016953
HK,70,7187500,0.000973913
FM,1,103702,0.0009643016
GD,1,105909,0.0009442068
UY,32,3408005,0.0009389658
BR,1727,202408632,0.0008532245
MU,10,1258653,0.0007945002
VU,2,253142,0.0007900704
CY,9,1143896,0.0007867848
CV,4,520106,0.000769074
AR,327,42539925,0.0007686896
IT,455,60233948,0.000755388
TT,10,1348248,0.0007417033
MD,26,3558566,0.0007306314
MN,20,2869107,0.000697081
BA,23,3604999,0.000638003
PR,20,3593077,0.000556626
