Dota 2,5391727528
Team Fortress 2,1197885641
Sid Meier's Civilization® V,777257322
,754706756
Counter-Strike,569676280
Counter-Strike: Source,549369386
Garry's Mod,483423927
The Elder Scrolls V: Skyrim,386992154
Counter-Strike: Global Offensive,354250698
Call of Duty®: Modern Warfare® 2,277854837
Call of Duty®: Modern Warfare® 3,226900035
Borderlands 2,186459916
Empire: Total War™,181787297
Left 4 Dead 2,175551491
Terraria,146851002
Mount & Blade: Warband,135770023
Total War: SHOGUN 2,126663918
Fallout: New Vegas,122143296
Call of Duty®: Black Ops,99474833
Call of Duty®: Black Ops II,94232762
Arma 2: Operation Arrowhead,85206576
Warframe,81615291
Killing Floor,78213873
Arma 3,77284926
Total War™: ROME II - Emperor Edition,68876451
Napoleon: Total War™,65519706
Crusader Kings II,64774380
XCOM: Enemy Unknown,59894510
PAYDAY 2,58029340
Dungeon Defenders,54461710
DayZ,52124021
Rust,52075824
DARK SOULS™: Prepare To Die™ Edition,51570285
The Binding of Isaac,49427637
Left 4 Dead,47497263
Battlefield: Bad Company™ 2,46927824
EVE Online,44133606
PlanetSide 2,41264673
Borderlands,40108603
Path of Exile,39779516
Europa Universalis IV,39635741
Company of Heroes 2,38887586
RIFT,38502703
War Thunder,37970967
Star Trek Online,36441251
DARK SOULS™ II,36263628
Kerbal Space Program,35347094
Day of Defeat: Source,33855530
"Warhammer 40,000: Dawn of War II: Retribution",32670972
Infestation: Survivor Stories Classic,31887541
Medieval II: Total War™,31793844
Grand Theft Auto IV,28945685
Torchlight II,28618918
Starbound,27954339
Saints Row: The Third,27786705
Civilization IV: Beyond the Sword,27035188
Chivalry: Medieval Warfare,26189643
Counter-Strike: Condition Zero,25427745
Far Cry 3,24240751
APB Reloaded,23666879
FTL: Faster Than Light,23618070
Stronghold Kingdoms,22383765
Might & Magic: Heroes VI,21708978
The Sims™ 3,21392739
Portal 2,21118451
"Warhammer® 40,000™: Dawn of War® II",21015552
Mass Effect 2,20992124
Just Cause 2,20729758
