,123541
Valve,121205
Feral Interactive (Mac),63191
Infinity Ward,54492
Gearbox Software,54291
Firaxis Games,49169
Aspyr (Mac),48560
Bethesda Game Studios,48014
Spiral Game Studios,47755
Aspyr (Mac & Linux),45277
Facepunch Studios,45147
Feral Interactive (Linux),44933
"Monochrome, Inc",41597
"Aspyr (Mac, Linux)",41345
Bohemia Interactive,41081
Re-Logic,36628
Zachtronics,35448
Tripwire Interactive,34458
Obsidian Entertainment,34311
Coffee Stain Studios,34153
Digital Extremes,33483
Rebellion,31520
Relic Entertainment,31513
Volition,31215
Smartly Dressed Games,29089
Ubisoft Montreal,28355
Arrowhead Game Studios,28309
4A Games,27266
Avalanche Studios,27046
The Creative Assembly,27043
DICE,26817
Irrational Games,26569
Arkane Studios,26443
Klei Entertainment,26062
Techland,25587
Runic Games,25308
OVERKILL - a Starbreeze Studio.,25000
CD PROJEKT RED,25000
Rockstar North,24632
Rockstar Toronto,24230
Virtual Programming (Linux),24049
Defence Alliance Team,23417
BioWare,22958
Telltale Games,22933
Rocksteady Studios,22133
2K Australia,21772
Crystal Dynamics,21460
Frozenbyte,20958
Daybreak Game Company,20912
Subset Games,20256
Robot Entertainment,20188
Crytek Studios,20176
Treyarch,20035
Torn Banner Studios,19770
2K Marin,19719
2K Boston,19542
IO Interactive,19271
Edmund McMillen and Florian Himsl,19012
Croteam,18827
FromSoftware,18017
Supergiant Games,17793
Rockstar North / Toronto,17555
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",17523
Criterion Games,17316
Double Fine Productions,17176
EA Redwood Shores,17162
Hidden Path Entertainment,17004
Haemimont Games,16824
Ensemble Studios,16514
Vigil Games,16323
Unknown Worlds Entertainment,16267
2K China,16257
The Behemoth,16158
TaleWorlds Entertainment,15597
Remedy Entertainment,15293
Trendy Entertainment,15246
OVERKILL Software,15199
Frictional Games,14742
Gas Powered Games,14605
EA Los Angeles,14540
Paradox Development Studio,14497
id Software,14461
Crytek,14336
Freejam,14072
Team17 Digital Ltd,13926
Team Meat,13658
Electronic Arts,13556
Playdead,13515
Ronimo Games,13260
Stardock Entertainment,12958
United Front Games,12824
Dennaton Games,12777
Iron Lore Entertainment,12687
Sledgehammer Games,12679
Rockstar Games,12660
Day 1 Studios,12599
Gaijin Entertainment,12511
Skybox Labs,12472
Monolith,12368
Splash Damage,12253
Rockstar Studios,12226
Edge of Reality,11977
Terry Cavanagh,11840
Larian Studios,11788
Capcom,11706
Grinding Gear Games,11461
"Monolith Productions, Inc.",11443
Dylan Fitterer,11345
Deep Silver Volition,11310
Introversion Software,11309
5th Cell Media,11271
Fatshark,11139
Creative Assembly,11107
Reto-Moto,10849
Nordic Games,10833
Triumph Studios,10729
Bossa Studios,10708
Ion Storm,10708
2K Czech,10552
Rockstar Leeds,10499
Team Bondi,10499
Snowblind Studios,10435
GSC Game World,10291
Keen Software House,10157
Uber Entertainment,10092
Pocketwatch Games,10031
Pandemic Studios,10002
"Mine Loader Software Co., Ltd.",9988
Polytron Corporation,9904
Gaijin Games,9692
Jagex Limited,9678
Ubisoft,9639
Yager Development,9560
Undead Labs,9560
"PopCap Games, Inc.",9480
Piranha Bytes,9340
Squad,9265
LucasArts,9236
Cryptic Studios,9188
NeocoreGames,9177
Muse Games,9109
Cellar Door Games,9074
Looking Glass Studios,9072
The Chinese Room,9042
Galactic Cafe,8952
EA - Maxis,8916
Psyonix,8812
Blue Byte,8726
Almost Human Games,8607
Timegate,8549
"Trion Worlds, Inc.",8536
Number None,8533
Nicalis,8471
Humble Hearts LLC,8448
Relic,8447
3909,8442
"FromSoftware, Inc",8433
WB Games Montreal,8263
Outerlight Ltd.,8242
FireFly Studios,8219
Zombie Panic Team,8197
2D BOY,8061
Abbey Games,8056
AMPLITUDE Studios,8036
Red 5 Studios,7926
Cyanide Studios,7911
Ironclad Games,7879
"Tequila Works, S.L.",7849
Alexander Bruce,7746
800 North and Digital Ranch,7700
SQUARE ENIX,7650
Square Enix,7603
Stainless Games,7587
Big Huge Games,7577
Shining Rock Software LLC,7575
Eugen Systems,7464
"Epic Games, Inc.",7452
Amanita Design,7452
Reactor Zero,7394
Giant Army,7381
ACE Team,7380
NetherRealm Studios,7308
High Voltage Software,7308
SCS Software,7283
New World Interactive,7270
"Hopoo Games, LLC",7205
Robert Briscoe,7197
"Aspyr (Mac, Linux, & Windows Update)",7192
