,122736
Dota 2,86214
Team Fortress 2,68351
Left 4 Dead 2,63188
ORION: Prelude,47755
Counter-Strike: Global Offensive,47541
Borderlands 2,45277
The Elder Scrolls V: Skyrim,44572
Counter-Strike: Source,41766
Contagion,41597
Sid Meier's Civilization® V,41345
Call of Duty®: Ghosts,40835
Half-Life 2: Lost Coast,40597
Garry's Mod,39786
Portal 2,37037
Terraria,36628
Portal,36077
Half-Life 2,34795
Half-Life 2: Deathmatch,30590
Unturned,29089
Ironclad Tactics,28486
Fallout: New Vegas,27466
Magicka,27173
Metro 2033,27164
Sanctum 2,26859
Arma 2,26436
Half-Life 2: Episode One,25804
Arma 2: Operation Arrowhead,25655
Alien Swarm,25581
Saints Row: The Third,25507
Half-Life 2: Episode Two,25239
Sniper Elite V2,25022
PAYDAY 2,25000
Grand Theft Auto IV,24230
BioShock Infinite,24049
Just Cause 2,23753
Counter-Strike,23690
Dishonored,23564
Killing Floor,23425
Defence Alliance 2,23417
Torchlight II,22181
The Witcher 2: Assassins of Kings Enhanced Edition,21958
XCOM: Enemy Unknown,21831
Dead Island: Game of the Year Edition,21312
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,20656
Counter-Strike: Condition Zero,20544
DayZ,20329
FTL: Faster Than Light,20256
Chivalry: Medieval Warfare,19770
Mirror's Edge™,19613
BioShock™,19542
Company of Heroes,19177
The Binding of Isaac,18928
Batman: Arkham City - Game of the Year Edition,18917
Tomb Raider,18723
Borderlands,18324
Left 4 Dead,18186
DARK SOULS™: Prepare To Die™ Edition,17973
Crysis 2 - Maximum Edition,17914
Trine 2: Complete Story,17894
Grand Theft Auto: Episodes from Liberty City,17555
Far Cry 3,17523
Dead Space,17162
Bastion,17161
Batman: Arkham Asylum Game of the Year Edition,16711
Company of Heroes: Opposing Fronts,16596
Orcs Must Die! 2,16576
Total War: SHOGUN 2,16399
Darksiders™,16323
BioShock® 2,16257
Don't Starve,16244
Natural Selection 2,16193
Starbound,15902
Rust,15854
Call of Duty®: Modern Warfare® 2,15367
Dungeon Defenders,15246
PAYDAY™ The Heist,15199
Half-Life,15006
Hitman: Absolution™,14813
Burnout Paradise: The Ultimate Box,14755
Warframe,14718
Day of Defeat: Source,14539
Company of Heroes: Tales of Valor,14450
Empire: Total War™,14413
Half-Life Deathmatch: Source,14262
"Warhammer® 40,000™: Dawn of War® II",14240
Mount & Blade: Warband,14200
Robocraft,14072
Red Faction®: Armageddon™,14070
The Witcher: Enhanced Edition Director's Cut,13945
The Walking Dead,13888
Castle Crashers®,13813
Amnesia: The Dark Descent,13802
Arma II: DayZ Mod,13735
Super Meat Boy,13658
LIMBO,13515
Medal of Honor™,13201
Sleeping Dogs,12824
Alan Wake,12823
Hotline Miami,12777
Titan Quest,12687
Call of Duty®: Modern Warfare® 3,12679
Mark of the Ninja,12674
F.E.A.R. 3,12599
Serious Sam 3: BFE,12568
Age of Empires II HD,12472
Saints Row 2,12454
Half-Life: Opposing Force,12405
Half-Life: Blue Shift,12339
Awesomenauts,12293
Day of Defeat,12277
"Warhammer 40,000: Dawn of War II: Retribution",12246
Max Payne 3,12226
Tropico 4: Steam Special Edition,12181
F.E.A.R. 2: Project Origin,12165
Team Fortress Classic,12124
Ricochet,11963
Deathmatch Classic,11945
Loadout,11862
Orcs Must Die!,11702
"Warhammer® 40,000: Dawn of War® II Chaos Rising",11683
Call of Duty®: Black Ops,11674
Grand Theft Auto: San Andreas,11616
Path of Exile,11461
Arma 3,11365
Torchlight,11363
War Thunder,11312
Saints Row IV,11310
PlanetSide 2,11256
Fallout 3: Game of the Year Edition,11206
AudioSurf,11128
Total War™: ROME II - Emperor Edition,11107
Call of Duty®: Black Ops II,11083
Scribblenauts Unlimited,11019
Heroes & Generals,10849
Surgeon Simulator 2013,10708
Sanctum,10706
DC Universe™ Online,10564
Mafia II,10552
L.A. Noire,10499
Lord of the Rings: War in the North,10435
The Elder Scrolls IV: Oblivion® Game of the Year Edition,10344
STAR WARS™ - Knights of the Old Republic™,10268
Trine Enchanted Edition,10257
Battlefield: Bad Company™ 2,10046
Napoleon: Total War™,10040
Monaco: What's Yours Is Mine,10031
PAC-MAN™ Championship Edition DX+,9988
FEZ,9904
Mass Effect 2,9873
Alan Wake's American Nightmare,9792
Ace of Spades: Battle Builder,9678
Brutal Legend,9675
Spec Ops: The Line,9560
State of Decay,9560
Rome: Total War™ - Collection,9517
Mass Effect,9466
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",9446
